id,category,cats,n_parcels,lat,lon,units,address,on_arterial,d_commercial,corridor_200,corridor_300,corridor_400
182,apartment,apartment,1,41.89943468,-87.79599662,,738 N GROVE AVE,0,2504.1,0,0,0
183,apartment,apartment,1,41.89853762,-87.79597956,,712 N GROVE AVE 1,0,2355.0,0,0,0
184,apartment,apartment,1,41.89764113,-87.80481808,,1129 AUGUSTA ST,0,1166.2,0,0,0
185,apartment,apartment,1,41.89726561,-87.80361056,,627 N MARION ST,0,1025.6,0,0,0
186,apartment,apartment,1,41.89762716,-87.80514249,,1137 AUGUSTA ST,0,1167.0,0,0,0
187,apartment,apartment,1,41.89763108,-87.80496949,,1135 AUGUSTA ST,0,1164.4,0,0,0
188,apartment,apartment,1,41.89691809,-87.8046031,,1127 MILLER AVE,0,902.9,0,0,0
189,apartment,apartment,1,41.89649048,-87.80439063,,1122 SCHNEIDER AVE,0,743.4,0,0,0
190,apartment,apartment,1,41.89558228,-87.80382889,,1112 PAULINA ST,0,410.8,0,0,0
191,apartment,apartment,1,41.89610947,-87.80472032,,1129 SCHNEIDER AVE 1,0,608.2,0,0,0
192,apartment,apartment,1,41.89512734,-87.80343474,,527 N MARION ST,0,257.2,0,1,1
193,apartment,apartment,1,41.89455982,-87.80428749,,1122 CHICAGO AVE,1,75.4,1,1,1
194,apartment,apartment,1,41.89446821,-87.80417388,,1120 CHICAGO AVE,1,36.2,1,1,1
195,apartment,apartment,1,41.89463254,-87.80350411,,509 N MARION ST,1,88.5,1,1,1
196,apartment,apartment,1,41.89440812,-87.80351716,,1104 CHICAGO AVE,1,47.0,1,1,1
197,apartment,apartment,1,41.89513058,-87.80418901,,1119 PAULINA ST,0,245.7,0,1,1
198,apartment,apartment,1,41.89537344,-87.80302441,,528 N MARION ST,0,326.1,0,0,1
199,apartment,apartment,1,41.89498925,-87.802956,,516 N MARION ST,0,188.3,1,1,1
200,apartment,apartment,1,41.89448205,-87.80290733,,1046 CHICAGO AVE,1,41.6,1,1,1
201,apartment,apartment,1,41.89570544,-87.8023003,,539 BELLEFORTE AVE 1,0,470.0,0,0,0
202,apartment,apartment,1,41.89543574,-87.80229559,,531 BELLEFORTE AVE,0,375.8,0,0,1
203,apartment,apartment,1,41.89462599,-87.80247432,,1040 CHICAGO AVE,1,91.5,1,1,1
204,apartment,apartment,1,41.89461338,-87.80221138,,1030 CHICAGO AVE,1,149.4,1,1,1
205,apartment,apartment,1,41.89503783,-87.80232396,,519 BELLEFORTE AVE,0,238.4,0,1,1
206,apartment,apartment,1,41.89502066,-87.80162475,,518 BELLEFORTE AVE,0,361.4,0,0,1
207,apartment,apartment,1,41.89511604,-87.8010217,,521 FOREST AVE,0,519.4,0,0,0
208,apartment,apartment,1,41.89769629,-87.80097039,,645 FOREST AVE,0,1272.3,0,0,0
209,apartment,apartment,1,41.89459833,-87.8015378,,1018 CHICAGO AVE,1,299.3,1,1,1
210,apartment,apartment,1,41.89460411,-87.8013861,,1016 CHICAGO AVE,1,328.1,1,1,1
211,apartment,apartment,1,41.89484591,-87.80091235,,515 FOREST AVE 1,1,481.6,1,1,1
212,apartment,apartment,1,41.89471214,-87.80091346,,511 FOREST AVE,1,450.0,1,1,1
213,apartment,apartment,1,41.89455275,-87.80091479,,505 FOREST AVE,1,416.7,1,1,1
214,apartment,apartment,1,41.89504077,-87.79948849,,519 WOODBINE AVE,1,840.6,1,1,1
215,apartment,apartment,1,41.89463319,-87.79985217,,948 CHICAGO AVE,1,689.1,1,1,1
216,apartment,apartment,1,41.89492939,-87.79940936,,515 WOODBINE AVE,1,841.8,1,1,1
217,apartment,apartment,1,41.89463416,-87.80006183,,950 CHICAGO AVE,1,636.5,1,1,1
218,apartment,apartment,1,41.89486058,-87.80039743,,510 FOREST AVE,1,595.2,1,1,1
219,apartment,apartment,1,41.89471238,-87.80035672,,506 FOREST AVE,1,576.8,1,1,1
220,apartment,apartment,1,41.89455872,-87.80036563,,500 FOREST AVE,1,550.1,1,1,1
221,apartment,apartment,1,41.89778038,-87.79871923,,919 AUGUSTA ST,0,1625.4,0,0,0
222,apartment,apartment,1,41.89777974,-87.7985826,,915 AUGUSTA ST,0,1650.1,0,0,0
