pin,class,lat,lon,address
16071010120000,211,41.89366581,-87.80303905,415 N MARION ST
16071010130000,211,41.89359748,-87.80303581,413 N MARION ST
16071010150000,211,41.89339457,-87.80302896,407 N MARION ST
16071020220000,211,41.8940737,-87.80068478,429 FOREST AVE
16071020280000,211,41.89330611,-87.80065238,401 FOREST AVE
16071020300000,211,41.89402635,-87.80239685,1041 CHICAGO AVE
16071020310000,211,41.89379511,-87.80254068,420 N MARION ST
16071020320000,211,41.89335513,-87.80253839,404 N MARION ST
16071020330000,211,41.89321867,-87.80257383,400 N MARION ST
16071030320000,211,41.89205405,-87.79858102,7 ELIZABETH CT
16071040180000,211,41.89418492,-87.79653609,435 N GROVE AVE
16071040200000,211,41.89385275,-87.79656025,427 N GROVE AVE
16071040260000,211,41.89308099,-87.79651821,403 N GROVE AVE 1
16071050050000,211,41.89354922,-87.79581507,416 N GROVE AVE
16071050070000,211,41.89323455,-87.79583263,408 N GROVE AVE
16071050090000,211,41.89292256,-87.79582779,344 N GROVE AVE
16071050190000,211,41.8917288,-87.79575886,310 N GROVE AVE
16071050230000,211,41.89374052,-87.79502959,421 N OAK PARK AVE
16071050250000,211,41.89351884,-87.79499578,415 N OAK PARK AVE
16071050260000,211,41.8933821,-87.79505393,411 N OAK PARK AVE
16071050270000,211,41.89325125,-87.79506622,407 N OAK PARK AVE
16071050290000,211,41.89294185,-87.79502032,341 N OAK PARK AVE
16071050340000,315,41.891608,-87.79541159,301 N OAK PARK AVE
